Gene  Symbol	Major associated tumor types	Mode of inheritance
SDHA	ParagangliomaPheochromocytomaGastrointestinal stromal tumor (GIST)	autosomal recessive autosomal dominant 
DOCK8	Squamous cell carcinomaLymphoma	autosomal recessive 
HRAS	RhabdomyosarcomaNeuroblastomaTransitional cell carcinoma (bladder)	autosomal dominant
ELANE	Leukemia 	autosomal dominant
STK11	Colorectal cancerGastric cancerBreast cancerSex cord-stromal tumor	autosomal dominant
TERT	acute myeloid leukemia Squamous cell carcinoma (head + neck, anorectal) Melanoma 	autosomal recessive autosomal dominant 
TSC2	Renal cell cancer, angiomyolipomaSubependymal giant cell astrocytomaRhabdomyoma (cardiac)	autosomal dominant
SRY	Gonadoblastoma	Y-linked
PMS2	Biallelic mutations:Brain tumors Hematological malignancySupratentorial primitive neuroectodermal tumorsMonoallelic mutations:Colorectal cancerEndometrial cancerOvarian cancer	autosomal recessive autosomal dominant 
TP53	Breast cancerSarcomaAdrenocortical carcinomaAstrocytoma 	autosomal dominant
VHL	Renal cell cancerPheochromocytomaNeuroendocrine tumor (pancreas)Hemangioblastoma (central nervous system, retina)	autosomal dominant
SMARCA4	Rhabdoid tumor	autosomal dominant
CDKN1B	Thyroid cancer, Pituitary adenoma	autosomal recessive autosomal dominant 
ERCC4	Basal cell carcinomaSquamous cell carcinomaMelanoma	autosomal recessive 
XPC	Basal cell carcinomaSquamous cell carcinomaMelanoma	autosomal recessive 
FLCN	Renal cell cancerOncocytoma	autosomal dominant
SDHB	ParagangliomaPheochromocytomaRenal cell cancer	autosomal dominant
GJB2	Squamous cell carcinoma	autosomal dominant
MTAP	malignant fibrous histiocytoma (sarcoma)	autosomal dominant
CDKN2A	Melanoma [p16 and p14ARF]Pancreas cancer [p16 ]Astrocytoma [p14ARF ]	autosomal dominant
PALB2	Biallelic mutations:Myeloid hematological malignancy  MedulloblastomaNeuroblastomaWilms tumorMonoallelic mutations:Breast cancerPancreas cancer  	autosomal recessive autosomal dominant 
SMARCB1	Rhabdoid tumor (renal, extra-renal)Central primitive neuroectodermal tumor	autosomal dominant
HFE	Hepatocellular carcinomaCholangiocarcinoma	autosomal recessive 
CHEK2	Breast cancer 	autosomal dominant
NF1	GliomaMalignant peripheral nerve sheath tumor	autosomal dominant
NF2	Vestibular schwannomaMeningiomaEpendymoma	autosomal dominant
ALK	Neuroblastoma	autosomal dominant
WRN	SarcomaMelanomaThyroid cancer	autosomal recessive 
WT1	Wilms tumorGonadoblastoma	autosomal dominant
BRCA2	Biallelic mutations:Myeloid hematological malignancy (MedulloblastomaWilms tumorMonoallelic mutations:Breast cancerOvarian cancerProstate cancerPancreas cancer	autosomal recessive autosomal dominant 
RAD51D	Ovarian cancer   	autosomal dominant
CEBPA	Myeloid hematological malignancy	autosomal dominant
FANCG	Myeloid hematological malignancySquamous cell carcinoma (head and neck, esophagus, genital tract) 	autosomal recessive 
RMRP	Non-hodgkin lymphomaSquamous carcinoma (bcc)Leukemia	autosomal recessive 
MLH1	Biallelic mutations:Brain tumorsHematological malignancyEmbryonal tumorsMonoallelic mutations:Colorectal cancerEndometrial cancerOvarian cancer	autosomal recessive autosomal dominant 
RUNX1	Myeloid hematological malignancy (leukemia)	autosomal dominant
SMARCE1	Mengingioma	autosomal dominant
SOS1	Rhabdomyosarcoma	autosomal dominant
BUB1B	Wilms Tumor RhabdomyosarcomaMyeloid hematological malignancy	autosomal recessive 
STAT3	Lymphoma	autosomal dominant
BRCA1	Breast cancerOvarian cancer	autosomal dominant
PHOX2B	Neuroblastoma	autosomal dominant
POLH	Squamous cell cancer (skin)	autosomal recessive 
RET	Medullary thyroid cancerPheochromocytoma	autosomal dominant
EXT2	Chondrosarcoma	autosomal dominant
UROD	hepatocellular carcinoma	autosomal recessive autosomal dominant 
MUTYH	Colorectal cancer	autosomal recessive 
ERCC2	Basal cell carcinomaSquamous cell carcinomaMelanoma	autosomal recessive 
DDB2	Basal cell carcinomaSquamous cell carcinomaMelanoma	autosomal dominant
MSH2	Biallelic mutations:Brain tumorsHematological malignancyEmbryonal tumorsMonoallelic mutations:Colorectal cancerEndometrial cancerOvarian cancerSebaceous adenoma, carcinoma, epithelioma	autosomal recessive autosomal dominant 
MSH6	Biallelic mutations:Brain tumorsHematological malignancyEmbryonal tumorsMonoallelic mutations:Colorectal cancerEndometrial cancerOvarian cancer	autosomal recessive autosomal dominant 
WAS	Lymphoma	X-linked recessive
SMAD4	Colorectal cancer	autosomal dominant
COL7A1	Squamous cell carcinmona (skin)	autosomal recessive autosomal dominant 
RB1	RetinoblastomaPinealomaSarcomaMelanoma	autosomal dominant
CYLD	CylindromaspiroadenocarcinomaBasal cell carcinoma	autosomal dominant
POLD1	Colorectal cancerEndometrial cancer	autosomal dominant
BAP1	Melanoma (cutaneous, uveal)MesotheliomaMeningiomaLung cancer (adenocarcinoma)	autosomal dominant
PDGFRA	Gastro-Intestinal Stromal Tumor         	autosomal dominant
EGFR	Non-small cell lung cancer 	autosomal dominant
KIT	Gastro-Intestinal Stromal Tumor          	autosomal dominant
RAD51C	Monoallelic mutations:     Ovarian cancer                      	autosomal recessive autosomal dominant 
TRIM37 	Wilms tumor 	autosomal recessive 
CDK4	Melanoma 	autosomal dominant
BRIP1	Biallelic mutations:Myeloid hematological malignancy Squamous cell carcinoma (head and neck, esophagus, genital tract)Monoallelic mutations:Breast cancerOvarian cancer            	autosomal recessive autosomal dominant 
SDHAF2	ParagangliomaPheochromocytoma	autosomal dominant
JMJD1C	intracranial germ cell tumors	autosomal dominant
AXIN2	Colorectal cancer	autosomal dominant
MEN1	Parathyroid, pituitary adenoma Neuroendocrine tumorCarcinoid tumorAdrenocortical carcinoma	autosomal dominant
MAX	ParagangliomaPheochromocytoma	autosomal dominant
SBDS	Myeloid hematological malignancy 	autosomal recessive 
PRKAR1A	Myxoma (cardiac/cutaneous/breast)Thyroid cancerSex cord-stromal tumor	autosomal dominant
CDH1	Breast cancer (lobular)Gastric cancer (diffuse)	autosomal dominant
RHBDF2	Esophageal cancer	autosomal dominant
FAH	Hepatocellular carcinoma	autosomal recessive 
BMPR1A	Colorectal cancer, gastric cancer, hamartoma            	autosomal dominant
PTEN	Breast cancerThyroid cancerEndometrial cancer	autosomal dominant
FANCA	Myeloid hematological malignancySquamous cell carcinoma (head and neck, esophagus, genital tract) 	autosomal recessive 
TNFRSF6 (FAS)	Lymphoma 	autosomal dominant
NBN	Lymphoma  MedulloblastomaGliomaRhabdomyosarcoma	autosomal recessive 
BLM	Lymphoma and ALL hematological malignancyMyeloid hematological malignancySquamous cell carcinoma, sccgastic, colorectal cancers	autosomal recessive 
SERPINA1	Hepatocellular carcinoma	autosomal recessive 
DICER1	Pleuropulmonary blastomaCystic nephroma Ovarian sex cord tumor	autosomal dominant
SLC25A13	Hepatocellular carcinoma	autosomal recessive 
TMEM127	Pheochromocytoma	autosomal dominant
FANCC	Myeloid hematological malignancySquamous cell carcinoma (head and neck, esophagus, genital tract) 	autosomal recessive 
PTCH1	Basal cell carcinomaMedulloblastoma                                         	autosomal dominant
XPA	Basal cell carcinomaSquamous cell carcinomaMelanoma	autosomal recessive 
TGFBR1	Squamous cell carcinoma (skin)	autosomal dominant
ERCC5	Basal cell carcinomaSquamous cell carcinomaMelanoma	autosomal recessive 
SUFU	Medulloblastoma, meningioma	autosomal dominant
ATM	Biallelic mutations:Lymphoid hematological malignancy (leukemia, lymphoma) Monoallelic mutations: Breast cancer                    	autosomal recessive autosomal dominant 
SDHD	ParagangliomaPheochromocytomaGastrointestinal stromal tumor (GIST)	autosomal dominant
APC	Colorectal cancer HepatoblastomaDesmoid tumor	autosomal dominant
PTPN11	JMMLneuroblastoma 	autosomal dominant
MET	Renal cell cancer (papillary carcinoma)	autosomal dominant
HMBS	hepatocellular carcinoma	autosomal dominant
EXT1	Chondrosarcoma	autosomal dominant
CBL	JMML	autosomal dominant
SH2D1A	Lymphoma	X-linked recessive
ERCC3	Basal cell carcinomaSquamous cell carcinomaMelanoma	autosomal recessive 
GATA2	Myeloid hematological malignancy 	autosomal dominant
GPC3	Wilms tumorHepatoblastoma, hepatocellular carcinomaNeuroblastomaGonadoblastoma	X-linked recessive
POLE	Colorectal cancer 	autosomal recessive autosomal dominant 
TSC1	Renal cell cancer, angiomyolipomaSubependymal giant cell astrocytomaRhabdomyoma (cardiac)	autosomal dominant
PRSS1	Pancreatic cancer	autosomal dominant
RECQL4	OsteosarcomaBasal cell carcinomaSquamous cell carcinoma	autosomal recessive 
DKC1	acute myeloid leukemiaSquamous cell carcinoma (head + neck, anorectal)	X-linked recessive
GBA	MyelomaLymphomaHepatocellular carcinoma	autosomal recessive 
ITK	Hodgkins lymphoma	autosomal recessive 
SDHC	ParagangliomaPheochromocytomaGastrointestinal stromal tumor (GIST)	autosomal dominant
ABCB11	Hepatocellular carcinomaCholangiocarcinoma	autosomal recessive 
CDC73	Parathyroid cancerOssifying fibroma (bone)	autosomal dominant
DIS3L2	Wilms tumor	autosomal recessive 
FH	Renal cell cancerLeiomyosarcoma (uterus)	autosomal recessive autosomal dominant 
NTHL1	colon adenocarcinoma, bladder carcinoma, meningioma, basal cell carcinoma, colorectal adenomas, head and neck squamous cell carcinoma-based on one woman case report	autosomal recessive
PRDM9	childhood leukemia (B-ALL)	autosomal dominant
POT1	melanoma	autosomal dominant
NRAS		autosomal dominant
SPRTN	hepatocellular carcinoma	autosomal recessive
MPL	MPN	autosomal dominant
SHOC2		autosomal dominant
PRF1	various leukaemia, lymphoma	autosomal recessive
CTR9	Wilm's tumor	autosomal dominant
CDKN1C	embryonal tumors	autosomal dominant
FANCF	AML, leukaemia	autosomal recessive
LMO1	neuroblastoma	autosomal dominant
ETV6	pediatric ALL	autosomal dominant
SH2B3		autosomal recessive
HNF1A	hepatic adenoma, hepatocellular carcinoma	autosomal recessive
RECQL	breast cancer	autosomal dominant
KRAS		autosomal dominant
FANCM	triple negative breast cancer	autosomal dominant
TSHR	thyroid adenoma	autosomal dominant
NOP10		autosomal recessive
MAP2K1		autosomal dominant
FANCI		autosomal recessive
SETBP1	neuroepithelial tumours	autosomal dominant
MAP2K2		autosomal dominant
ERCC1		autosomal recessive
PMS1	hereditary non-polyposis colorectal cancer	autosomal recessive
EPCAM	Hereditary Nonpolyposis Colorectal Cancer	autosomal dominant
FANCL		autosomal recessive
FANCD2	AML, leukaemia	autosomal recessive
RAF1		autosomal dominant
ATR	endometrial, gastric	autosomal dominant
MITF	familial melanoma	autosomal dominant
NHP2		autosomal recessive
DROSHA		unknown
FANCE	AML, leukaemia	autosomal recessive
BRAF		autosomal dominant
PAX5	B-ALL	autosomal dominant
